technology,window_number,window_start_date,window_end_date,days_since_launch,video_count,mean_sentiment,median_sentiment,sentiment_std,proportion_positive,proportion_negative,mean_views,mean_hyperbole,mean_complexity,dominant_topic,topic_diversity,mean_duration,mean_subscriber_count,dominant_category,category_diversity,prop_sci_tech,mean_like_ratio,mean_comment_ratio,sentiment_slope
ChatGPT,36,2023-10-04,2023-10-18,308,6,0.5666666666666667,0.7,0.28751811537130434,1.0,0.0,1399933.5,0.4666666666666666,0.31666666666666665,Practical Application,0.3333333333333333,535.5,2861700.0,Howto & Style,0.125,0.16666666666666666,0.02318013012600961,0.0007509900754536942,0.03933333333333334
ChatGPT,37,2023-10-18,2023-11-01,322,15,0.5399999999999999,0.7,0.3418437404094784,0.9333333333333333,0.06666666666666667,340940.13333333336,0.5266666666666666,0.36666666666666664,Practical Application,0.5,930.2,863660.0,Education,0.1875,0.2,0.028831652481386316,0.001569408986125866,0.038666666666666676
ChatGPT,38,2023-11-01,2023-11-15,336,15,0.56,0.7,0.2772312083030027,1.0,0.0,108970.93333333333,0.4066666666666666,0.4066666666666666,Practical Application,0.6666666666666666,825.0,247094.26666666666,Education,0.1875,0.26666666666666666,0.018565093077619173,0.0019498807712241537,0.027999999999999987
ChatGPT,39,2023-11-15,2023-11-29,350,6,0.18333333333333335,0.2,0.5307227776030219,0.8333333333333334,0.16666666666666666,1201989.5,0.5,0.3666666666666667,Practical Application,0.6666666666666666,695.6666666666666,664036.6666666666,Education,0.125,0.0,0.02138662290141272,0.0010641545663975266,0.02866666666666667
GPT-4,3,2022-10-11,2022-10-25,-154,1,0.7,0.7,,1.0,0.0,18700.0,0.5,0.6,Practical Application,0.16666666666666666,361.0,59800.0,Education,0.03125,0.0,0.031176470588235295,0.0013903743315508022,
GPT-4,4,2022-10-25,2022-11-08,-140,1,0.2,0.2,,1.0,0.0,1615.0,0.3,0.3,Practical Application,0.16666666666666666,181.0,515.0,Science & Technology,0.03125,1.0,0.01671826625386997,0.017956656346749224,
GPT-4,5,2022-11-08 00:00:00,2022-11-22 00:00:00,-126,1,0.4,0.4,,1.0,0.0,51433.0,0.5,0.3,Enthusiast/Reaction,0.16666666666666666,434.0,41400.0,Science & Technology,0.03125,1.0,0.019734411758987422,0.0018859487099721968,
GPT-4,6,2022-11-22 00:00:00,2022-12-06 00:00:00,-112,1,0.2,0.2,,1.0,0.0,108190.0,0.6,0.4,News/Analysis,0.16666666666666666,2516.0,313000.0,Science & Technology,0.03125,1.0,0.03811812551991866,0.0032258064516129032,-0.14999999999999997
GPT-4,7,2022-12-06 00:00:00,2022-12-20 00:00:00,-98,3,0.7000000000000001,0.7,0.10000000000000006,1.0,0.0,111326.66666666667,0.7333333333333334,0.39999999999999997,Enthusiast/Reaction,0.5,441.3333333333333,142053.33333333334,Education,0.0625,0.3333333333333333,0.041774299266236326,0.003616936299964773,-0.12999999999999998
GPT-4,8,2022-12-20 00:00:00,2023-01-03 00:00:00,-84,3,0.46666666666666673,0.4,0.3055050463303894,1.0,0.0,93071.33333333333,0.6333333333333333,0.39999999999999997,Enthusiast/Reaction,0.3333333333333333,479.0,203165.66666666666,Education,0.0625,0.0,0.026039804769124163,0.003654187383091142,2.2204460492503132e-17
GPT-4,9,2023-01-03 00:00:00,2023-01-17 00:00:00,-70,2,0.39999999999999997,0.39999999999999997,0.42426406871192845,1.0,0.0,56153.5,0.6,0.44999999999999996,Enthusiast/Reaction,0.3333333333333333,1263.5,98010.0,Howto & Style,0.0625,0.5,0.010073576613500567,0.0013801274216285282,0.08333333333333336
GPT-4,10,2023-01-17 00:00:00,2023-01-31 00:00:00,-56,5,0.42000000000000004,0.7,0.521536192416212,0.8,0.2,49607.6,0.52,0.44000000000000006,Critical/Evaluative,0.5,836.2,197448.8,People & Blogs,0.09375,0.4,0.019596914892454458,0.002194441763851884,0.02666666666666666
GPT-4,11,2023-01-31 00:00:00,2023-02-14 00:00:00,-42,6,0.48333333333333334,0.55,0.2562550812504343,1.0,0.0,149087.66666666666,0.5499999999999999,0.39999999999999997,News/Analysis,0.5,1339.5,342366.6666666667,Education,0.125,0.3333333333333333,0.014224661003561278,0.001100481360823909,0.013999999999999997
GPT-4,12,2023-02-14 00:00:00,2023-02-28 00:00:00,-28,3,0.36666666666666664,0.2,0.28867513459481287,1.0,0.0,15141.666666666666,0.5666666666666667,0.43333333333333335,Enthusiast/Reaction,0.5,1937.3333333333333,2053963.3333333333,Education,0.0625,0.0,0.022424210793822025,0.0023761492317630507,-0.048000000000000015
GPT-4,13,2023-02-28 00:00:00,2023-03-14 00:00:00,-14,2,0.39999999999999997,0.39999999999999997,0.42426406871192845,1.0,0.0,6416.5,0.45,0.5,Enthusiast/Reaction,0.3333333333333333,341.0,574.5,Comedy,0.0625,0.5,0.010185755754145244,0.0017526098240548008,-0.011666666666666681
GPT-4,14,2023-03-14 00:00:00,2023-03-28 00:00:00,0,13,0.5692307692307692,0.7,0.28689317229186945,0.9230769230769231,0.07692307692307693,1454918.1538461538,0.5923076923076923,0.5230769230769231,Enthusiast/Reaction,0.8333333333333334,1522.2307692307693,2613746.153846154,Science & Technology,0.0625,0.9230769230769231,0.029274330897786454,0.002067526732017278,-0.00533333333333334
GPT-4,15,2023-03-28 00:00:00,2023-04-11 00:00:00,14,11,0.5181818181818182,0.7,0.2786330268226716,1.0,0.0,337484.36363636365,0.5454545454545454,0.4272727272727273,Practical Application,0.8333333333333334,943.0,550873.2727272727,Education,0.15625,0.18181818181818182,0.024035849696336473,0.0021271329293006836,0.021512820512820496
GPT-4,16,2023-04-11 00:00:00,2023-04-25 00:00:00,28,7,0.4857142857142857,0.6,0.40178174601214955,0.8571428571428571,0.14285714285714285,33214.71428571428,0.4857142857142857,0.5285714285714286,Practical Application,0.6666666666666666,779.0,77484.71428571429,Science & Technology,0.09375,0.7142857142857143,0.023690662846056178,0.0035840489844519443,0.02722610722610723
